family,hierarchy,model_a,method_a,model_b,method_b,seed,fold,horizon,relative_mae_diff,rel_ci_low,rel_ci_high,rel_ci_crosses_zero,prob_improvement,p_value_raw
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,0,8,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,0,8,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,0,8,-0.09489588230971382,-0.11598208849306406,-0.07567532718434893,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,0,16,-0.0887298405573946,-0.11337028493085947,-0.06458218177504231,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,0,16,-0.0887298405573946,-0.11337028493085947,-0.06458218177504231,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,0,16,-0.0887298405573946,-0.11337028493085947,-0.06458218177504231,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,1,1,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,1,1,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,1,1,-0.08566796483239265,-0.11327959032944716,-0.05733575632177113,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,1,8,-0.08647449536504995,-0.11543640237347216,-0.05735988778616186,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,1,8,-0.08647449536504995,-0.11543640237347216,-0.05735988778616186,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,1,8,-0.08647449536504995,-0.11543640237347216,-0.05735988778616186,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,1,16,-0.08738737961765332,-0.11793930476318558,-0.0570130200043684,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,1,16,-0.08738737961765332,-0.11793930476318558,-0.0570130200043684,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,1,16,-0.08738737961765332,-0.11793930476318558,-0.0570130200043684,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,2,1,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,2,1,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,2,1,-0.1154836356358882,-0.13844268371209645,-0.09131780544191749,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,2,8,-0.10637782532783681,-0.13129342945569036,-0.0800199306217958,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,2,8,-0.10637782532783681,-0.13129342945569036,-0.0800199306217958,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,2,8,-0.10637782532783681,-0.13129342945569036,-0.0800199306217958,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,0,2,16,-0.1160214460539701,-0.1392365366589506,-0.09128070274623873,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,1,2,16,-0.1160214460539701,-0.1392365366589506,-0.09128070274623873,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,wls,lightgbm,independent,2,2,16,-0.1160214460539701,-0.1392365366589506,-0.09128070274623873,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,0,0,1,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,1,0,1,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,2,0,1,-0.10071003332852008,-0.12269060745535496,-0.07903395448390742,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,0,0,8,-0.10060648182532889,-0.12641036158796573,-0.07733002541946907,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,1,0,8,-0.10060648182532889,-0.12641036158796573,-0.07733002541946907,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,2,0,8,-0.10060648182532889,-0.12641036158796573,-0.07733002541946907,False,1.0,0.0
cpu_lightgbm_reconciliation,cpu_core_weighted,lightgbm,mint,lightgbm,independent,0,0,16,-0.09322664389371522,-0.12415167392870685,-0.06318192675399276,False,1.0,0.0
