experiment_stage,eligible_for_final_claims,target,model,method,threshold_mode,threshold,outer_fold,mae,peak_precision,peak_recall,peak_f1,peak_magnitude_mae,peak_timing_mae_steps,high_load_mae,false_alarms_per_day,n_true_peaks,n_pred_peaks
development,False,jitterWithGoogleDns,ridge,point,mad,0.06392580000444835,outer_0,0.28041284195434285,0.46846846846846846,1.0,0.6380368098159509,0.9208406783735306,0.014797507788161994,0.9208406783735306,1699.781753358662,1284,8103
development,False,jitterWithGoogleDns,lightgbm,point,q90,0.387,outer_0,0.3210117081759219,0.51242983159583,0.7008264462809918,0.592000856528242,2.1145453499279405,0.6320754716981132,1.7825288757733455,205.15037146417052,605,1247
development,False,jitterWithGoogleDns,lightgbm,point,q95,0.7431499999999982,outer_0,0.3210117081759219,0.4620355411954766,0.5596816976127321,0.5061925672416758,3.2138619970384052,0.7772511848341233,2.585815008256351,101.7027357926872,377,619
development,False,jitterWithGoogleDns,lightgbm,point,mad,0.06392580000444835,outer_0,0.3210117081759219,0.6183047321892876,0.9524922118380063,0.7498492331452455,1.0556041501707583,0.35568274734260014,1.0210395737797517,653.8389117260258,1284,3846
development,False,cluster_UM,persistence,point,q90,117321784524.8,outer_0,1294154012.0869985,1.0,1.0,1.0,1548415919.8581944,0.008261979870812678,1548415919.8581944,-0.24689194756769428,6657,6656
development,False,cluster_UM,persistence,point,q95,124038940671.99998,outer_0,1294154012.0869985,1.0,1.0,1.0,8477078433.344538,0.21608643457382953,8477078433.344538,-0.24689194756769428,833,832
development,False,cluster_UM,persistence,point,mad,117830686688.4608,outer_0,1294154012.0869985,1.0,1.0,1.0,1566501215.7210584,0.004587857470561248,1566501215.7210584,-0.24689194756769428,6539,6538
development,False,cluster_UM,ridge,point,q90,117321784524.8,outer_0,1358694507.6124406,0.9977331116820312,0.9944419408141806,0.996084807660282,1625222068.3189642,0.01027190332326284,1620287920.1545098,-0.7406758427030828,6657,6617
development,False,cluster_UM,ridge,point,q95,124038940671.99998,outer_0,1358694507.6124406,0.9715909090909091,0.9951980792316927,0.9832528169185044,6998490690.404047,0.24246079613992763,7009679672.981138,12.591489325952407,833,880
development,False,cluster_UM,ridge,point,mad,117830686688.4608,outer_0,1358694507.6124406,0.9974006116207951,0.9981648570117755,0.9977825879740513,1637581722.6170504,0.005362341044890455,1636480016.5163903,3.2095953183800257,6539,6540
development,False,cluster_UM,lightgbm,point,q90,117321784524.8,outer_0,2548658026.0004625,0.9820472440944882,0.9983476040258374,0.9901303410402935,3058038322.440593,0.07402949142341259,3054160306.0939484,-73.0800164800375,6657,6350
development,False,cluster_UM,lightgbm,point,q95,124038940671.99998,outer_0,2548658026.0004625,0.9675745784695201,0.9807923169267707,0.9741386130701456,8372932306.704729,0.25458996328029376,8405786645.839103,-11.357029588113937,833,771
