experiment_stage,eligible_for_final_claims,family,method,base_model,horizon,outer_fold,machine,mae,mase,mase_valid,nmae_train_range,n_parameters,train_seconds,infer_seconds,n_test
development,False,CU,global_onehot,ridge,4,outer_0,machine03,1.256105610595273,1.2644731631967332,True,0.020598774020306,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine04,3.5642705560548062,1.976200740938362,True,0.03582581528333967,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine05,0.6359297244891476,0.7514701638545,True,0.061740749949658315,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine06,0.07102857144865339,1.3030153567000378,True,0.043973210678636854,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_onehot,ridge,4,outer_0,machine07,1.034987450791469,0.7157414124944549,True,0.086228993820249,160,0.12368174999937764,0.09531529199739452,4606
development,False,CU,global_residual,ridge,4,outer_0,machine01,3.7059670191367657,1.4182459147365607,True,0.0375442693718155,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine02,1.2398835147414173,0.6168362072923225,True,0.08666305510140913,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine03,0.8871887276877816,0.8930987389827968,True,0.014548935981858102,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine04,3.2795505135040544,1.8183384377826792,True,0.032963987739254935,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine05,0.6077940533753892,0.718222594873514,True,0.05900913139495741,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine06,0.05833845160044486,1.0702157845935774,True,0.03611686073042169,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_residual,ridge,4,outer_0,machine07,0.9605000338004801,0.6642299386022603,True,0.08002314560973152,1084,0.16041629199753515,8.555197375000716,4606
development,False,CU,global_embed,ridge,4,outer_0,machine01,4.575153013252046,1.7508769065761403,True,0.04634978569960909,2948,0.691433625001082,0.09919391699804692,4606
